"estudiante_id";"codigo";"nombre";"uc";"notaf";"notad";"tipoexamen";"seccion";"equivalenciainterna";"nombre";"ano";"nombre"
161348;"0902003277";"BIOQUIMICA CLINICA I";5;"AP";"00";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
58268;"0902002999";"INMUNOLOGIA I";2;"14";"14";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
161017;"0902002998";"PARASITOLOGIA I";4;"RT";"RT";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
46709;"0902003466";"BACTERIOLOGIA II";4;"14";"14";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
161348;"0902003280";"HEMATOLOGIA I";5;"RT";"RT";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
58268;"0902003277";"BIOQUIMICA CLINICA I";5;"11";"11";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
186687;"0902002999";"INMUNOLOGIA I";2;"AP";"00";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
58268;"0902003278";"LABORATORIO INMUNOLOGIA I";2;"14";"14";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
152169;"0902003496";"POBLACION Y POLITICA  DE SALUD";3;"18";"18";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
46709;"0902003489";"HISTORA DE CIENCIA.DE LA SALUD";3;"16";"16";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
58707;"0902003464";"DEONTOLOGIA Y LEGISLACION DEL BIOANALISIS";3;"15";"15";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
58268;"0902003279";"MICOLOGIA I";3;"13";"13";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
150141;"0902003285";"TOXICOLOGIA";5;"11";"11";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
60699;"0902002999";"INMUNOLOGIA I";2;"13";"13";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
151468;"0902003508";"INTERNADO ROTATORIO TRABAJO ESPECIAL DE INVESTIGACION";30;"19";"19";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
46730;"0902003281";"BIOQUIMICA CLINICA II";5;"13";"13";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
150871;"0902003467";"BACTERIOLOGIA III";4;"AP";"00";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
60699;"0902002994";"FISIOLOGIA";5;"14";"14";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
150141;"0902003281";"BIOQUIMICA CLINICA II";5;"AP";"05";"R";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
46730;"0902003282";"HEMATOLOGIA II";5;"13";"13";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
145614;"0902003281";"BIOQUIMICA CLINICA II";5;"RT";"RT";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
58268;"0902003463";"ADMINISTRACION SANITARIA";3;"12";"12";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
145614;"0902003483";"SEMINARIO DE DEONTOLOG I";2;"RT";"RT";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
58268;"0902003464";"DEONTOLOGIA Y LEGISLACION DEL BIOANALISIS";3;"AP";"14";"D";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
144303;"0902003464";"DEONTOLOGIA Y LEGISLACION DEL BIOANALISIS";3;"10";"10";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
58268;"0902003465";"BACTERIOLOGIA I";3;"14";"14";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
144303;"0902002523";"QUIMICA ANALITICA";5;"AP";"00";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
58268;"0902003466";"BACTERIOLOGIA II";4;"14";"14";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
186687;"0902003477";"ECONOMIA DE SALUD";3;"00";"PI";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
58248;"0902003507";"MUJER IDENTIDAD Y SOCIEDAD";2;"16";"16";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
141039;"0902002992";"BIOQUIMICA II";2;"AP";"06";"R";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
33904;"0902003608";"SEMINARIO DE HEMATOLOGIA";2;"00";"PI";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
141039;"0902003602";"FORMACION DE AGENTES DE PAZ";3;"19";"19";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
33905;"0902003281";"BIOQUIMICA CLINICA II";5;"12";"12";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
52770;"0902003279";"MICOLOGIA I";3;"11";"11";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
46730;"0902003283";"PARASITOLOGIA II";3;"13";"13";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
141039;"0902002992";"BIOQUIMICA II";2;"AP";"03";"R";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
46730;"0902003285";"TOXICOLOGIA";5;"13";"13";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
52770;"0902003278";"LABORATORIO INMUNOLOGIA I";2;"13";"13";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
58268;"0902003472";"TOPICOS EN SALUD PUBLICA II";2;"14";"14";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
135735;"0902003508";"INTERNADO ROTATORIO TRABAJO ESPECIAL DE INVESTIGACION";30;"19";"19";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
46767;"0902002520";"ANATOMIA Y EMBRIOLOGIA I";4;"AP";"00";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
134454;"0902003457";"PRINCIPIOS DE QUIMICA";3;"11";"11";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
58268;"0902003605";"APRENDER A APRENDER";2;"RT";"RT";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
52770;"0902002992";"BIOQUIMICA II";2;"13";"13";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
58248;"0902003464";"DEONTOLOGIA Y LEGISLACION DEL BIOANALISIS";3;"10";"10";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
141039;"0902003465";"BACTERIOLOGIA I";3;"14";"14";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
58268;"0902003609";"PREVENCION INTEGRAL EN AREA DROGAS";2;"19";"19";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
150871;"0902002998";"PARASITOLOGIA I";4;"00";"PI";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
58295;"0902002526";"ANATOMIA Y EMBRIOLOGIA II";2;"12";"12";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
152169;"0902003464";"DEONTOLOGIA Y LEGISLACION DEL BIOANALISIS";3;"10";"10";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
58295;"0902002991";"BIOQUIMICA I";6;"AP";"14";"D";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
156320;"0902003508";"INTERNADO ROTATORIO TRABAJO ESPECIAL DE INVESTIGACION";30;"19";"19";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
33905;"0902003281";"BIOQUIMICA CLINICA II";5;"AP";"07";"R";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
132741;"0902003602";"FORMACION DE AGENTES DE PAZ";3;"13";"13";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
46767;"0902002532";"INGLES II";2;"00";"PI";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
50500;"2992";"BIOQUIMICA II";2;"AP";"00";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
58295;"0902002994";"FISIOLOGIA";5;"13";"13";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
165686;"0902003282";"HEMATOLOGIA II";5;"AP";"06";"R";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
46767;"0902002532";"INGLES II";2;"17";"17";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
167914;"0902002998";"PARASITOLOGIA I";4;"00";"PI";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
58295;"0902003275";"FISICA II";4;"11";"11";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
178275;"0902003281";"BIOQUIMICA CLINICA II";5;"10";"10";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
33905;"0902003285";"TOXICOLOGIA";5;"11";"11";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
177167;"0902002999";"INMUNOLOGIA I";2;"00";"PI";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
33905;"0902003468";"TOPICOS EN BACTERIOLOGIA";2;"14";"14";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
51005;"0902003280";"HEMATOLOGIA I";5;"15";"15";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
46767;"0902003455";"MATEMATICAS I";3;"AP";"00";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
183675;"0902003508";"INTERNADO ROTATORIO TRABAJO ESPECIAL DE INVESTIGACION";30;"19";"19";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
46767;"0902003455";"MATEMATICAS I";3;"AP";"00";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
177167;"0902003609";"PREVENCION INTEGRAL EN AREA DROGAS";2;"00";"PI";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
46767;"0902003461";"QUIMICA ORGANICA I";4;"00";"PI";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
183651;"0902003508";"INTERNADO ROTATORIO TRABAJO ESPECIAL DE INVESTIGACION";30;"19";"19";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
33905;"0902003602";"FORMACION DE AGENTES DE PAZ";3;"18";"18";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
4713;"0902003282";"HEMATOLOGIA II";5;"12";"12";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
58295;"0902003462";"SOCIOLOGIA Y ORIENTACION COMUNAL";3;"14";"14";"F";"S1";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
52770;"0902002525";"INGLES I";2;"RT";"RT";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
58248;"0902002999";"INMUNOLOGIA I";2;"AP";"08";"R";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
24670;"0902003483";"SEMINARIO DE DEONTOLOG I";2;"15";"15";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
58295;"0902003463";"ADMINISTRACION SANITARIA";3;"14";"14";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
13184;"0902002992";"BIOQUIMICA II";2;"AP";"08";"R";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
58295;"0902003464";"DEONTOLOGIA Y LEGISLACION DEL BIOANALISIS";3;"16";"16";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
50500;"2525";"INGLES I";2;"RT";"RT";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
8567;"0902003285";"TOXICOLOGIA";5;"10";"10";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
176384;"0902003281";"BIOQUIMICA CLINICA II";5;"AP";"06";"R";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
58248;"0902002992";"BIOQUIMICA II";2;"10";"10";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
134426;"0902003508";"INTERNADO ROTATORIO TRABAJO ESPECIAL DE INVESTIGACION";30;"18";"18";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
23108;"0902003609";"PREVENCION INTEGRAL EN AREA DROGAS";2;"00";"PI";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
176384;"0902003612";"PASANTIAS EN FISIOLOGIA";2;"14";"14";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
20487;"0902002525";"INGLES I";2;"00";"PI";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
176384;"0902003281";"BIOQUIMICA CLINICA II";5;"AP";"06";"R";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
46769;"0902002526";"ANATOMIA Y EMBRIOLOGIA II";2;"RT";"RT";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
50500;"2526";"ANATOMIA Y EMBRIOLOGIA II";2;"AP";"08";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
58295;"0902003602";"FORMACION DE AGENTES DE PAZ";3;"18";"18";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
6781;"0902002526";"ANATOMIA Y EMBRIOLOGIA II";2;"AP";"01";"R";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
58295;"0902003605";"APRENDER A APRENDER";2;"13";"13";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
50500;"2526";"ANATOMIA Y EMBRIOLOGIA II";2;"RT";"RT";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
58295;"0902003609";"PREVENCION INTEGRAL EN AREA DROGAS";2;"19";"19";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
50500;"3491";"DEPORTE II";2;"18";"18";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
58253;"0902002991";"BIOQUIMICA I";6;"14";"14";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
50500;"3493";"PROCESOS METODOLOGICOS";3;"10";"10";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
58253;"0902002992";"BIOQUIMICA II";2;"10";"10";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
50740;"0902003283";"PARASITOLOGIA II";3;"16";"16";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
58253;"0902002999";"INMUNOLOGIA I";2;"13";"13";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
50740;"0902003280";"HEMATOLOGIA I";5;"14";"14";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
46769;"0902002994";"FISIOLOGIA";5;"10";"10";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
179082;"0902003285";"TOXICOLOGIA";5;"10";"10";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
23192;"0902002525";"INGLES I";2;"RT";"RT";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
50740;"0902003472";"TOPICOS EN SALUD PUBLICA II";2;"RT";"RT";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
45526;"0902003462";"SOCIOLOGIA Y ORIENTACION COMUNAL";3;"13";"13";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
50740;"0902003467";"BACTERIOLOGIA III";4;"AP";"12";"D";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
20487;"0902002992";"BIOQUIMICA II";2;"AP";"03";"R";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
4713;"0902002526";"ANATOMIA Y EMBRIOLOGIA II";2;"11";"11";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
58253;"0902003463";"ADMINISTRACION SANITARIA";3;"14";"14";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
24670;"0902003285";"TOXICOLOGIA";5;"10";"10";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
58253;"0902003464";"DEONTOLOGIA Y LEGISLACION DEL BIOANALISIS";3;"13";"13";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
4713;"0902003280";"HEMATOLOGIA I";5;"12";"12";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
58253;"0902003465";"BACTERIOLOGIA I";3;"12";"12";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
179082;"0902003281";"BIOQUIMICA CLINICA II";5;"AP";"04";"R";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
46769;"0902003275";"FISICA II";4;"12";"12";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
67607;"0902002526";"ANATOMIA Y EMBRIOLOGIA II";2;"11";"11";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
46769;"0902003275";"FISICA II";4;"AP";"01";"R";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
6781;"0902003477";"ECONOMIA DE SALUD";3;"14";"14";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
20487;"0902002992";"BIOQUIMICA II";2;"AP";"04";"R";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
51005;"0902003278";"LABORATORIO INMUNOLOGIA I";2;"12";"12";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
58253;"0902003489";"HISTORA DE CIENCIA.DE LA SALUD";3;"16";"16";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
146018;"0902003508";"INTERNADO ROTATORIO TRABAJO ESPECIAL DE INVESTIGACION";30;"19";"19";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
58253;"0902003491";"DEPORTE II";2;"17";"17";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
51005;"0902003279";"MICOLOGIA I";3;"11";"11";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
58253;"0902003609";"PREVENCION INTEGRAL EN AREA DROGAS";2;"18";"18";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
51005;"0902003493";"PROCESOS METODOLOGICOS";3;"10";"10";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
58274;"0902002991";"BIOQUIMICA I";6;"17";"17";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
51005;"0902003284";"VIROLOGIA";3;"11";"11";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
58274;"0902002992";"BIOQUIMICA II";2;"15";"15";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
141039;"0902002999";"INMUNOLOGIA I";2;"AP";"07";"R";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
23192;"0902002991";"BIOQUIMICA I";6;"12";"12";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
35654;"0902003279";"MICOLOGIA I";3;"11";"11";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
46769;"0902003463";"ADMINISTRACION SANITARIA";3;"12";"12";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
58707;"0902003275";"FISICA II";4;"AP";"06";"R";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
58274;"0902002994";"FISIOLOGIA";5;"15";"15";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
67676;"0902002526";"ANATOMIA Y EMBRIOLOGIA II";2;"12";"12";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
58274;"0902002999";"INMUNOLOGIA I";2;"14";"14";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
52770;"0902003466";"BACTERIOLOGIA II";4;"14";"14";"F";"A";f;"2010-02S";2010;"LICENCIADO EN BIOANÁLISIS"
46769;"0902003464";"DEONTOLOGIA Y LEGISLACION DEL BIOANALISIS";3;"10";"10";"F";"A";f;"2010-01S";2010;"LICENCIADO EN BIOANÁLISIS"
